Hmean,Smean,Vmean,kematangan
23.3572,183.5843,241.432,1
22.0956,181.2843,252.02,1
21.88,181.9,219.2336,1
22.6112,178.296,234.7006,1
22.8256,180.3948,237.4784,1
37.8,230.3948,189.85,0
36.955,221.2012,196.226,0
34.8072,152.5745,210.78,0
36.5188,138.085,233.7672,0
35.488,115.5252,239.9736,0
22.8632,180.8104,158.3512,1
35,172.213,110.8912,0
36.1772,199.4992,97.4416,0
35.792,176.43,103.576,0
34.82,149.914,118.8912,0
35.9336,168.0884,102.0148,0
20.0708,184.0764,127.6864,1
22.6448,169.6068,161.0116,1
18.966,181.7476,114.7652,1
19.3628,180.1484,121.2228,1
21.2552,183.4943,142.3408,1
37.9544,194.5624,182.3268,0
25,252.2528,254.4912,1
45.3,135.4468,163.406,0
38.7812,100.2752,206.184,0
